[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
NAME                                     VERSION          TYPE                            
actions/checkout                         v4               github-action  (+1 duplicate)   
actions/checkout                         v4.2.2           github-action                   
actions/checkout                         v5               github-action  (+3 duplicates)  
actions/github-script                    v7               github-action                   
actions/setup-node                       v4               github-action                   
actions/setup-python                     v4               github-action                   
actions/upload-artifact                  v4.6.2           github-action                   
alabaster                                1.0.0            python                          
annotated-types                          0.7.0            python                          
anthropics/claude-code-action            v1               github-action  (+1 duplicate)   
anyio                                    4.10.0           python                          
aquasecurity/tfsec-action                v1.0.3           github-action                   
astral-sh/setup-uv                       v6               github-action                   
asttokens                                3.0.0            python                          
authlib                                  1.6.5            python                          
babel                                    2.17.0           python                          
bandit                                   1.8.6            python                          
certifi                                  2025.8.3         python                          
cffi                                     1.17.1           python                          
cfgv                                     3.4.0            python                          
charset-normalizer                       3.4.3            python                          
click                                    8.2.1            python                          
colorama                                 0.4.6            python                          
coverage                                 7.10.6           python                          
cryptography                             45.0.6           python                          
decorator                                5.2.1            python                          
distlib                                  0.4.0            python                          
docutils                                 0.21.2           python                          
dparse                                   0.6.4            python                          
example-python-project                   0.1.0            python                          
executing                                2.2.0            python                          
factory-boy                              3.3.3            python                          
faker                                    37.6.0           python                          
filelock                                 3.16.1           python                          
github/codeql-action/analyze             v3               github-action                   
github/codeql-action/init                v3               github-action                   
github/codeql-action/upload-sarif        v3               github-action                   
h11                                      0.16.0           python                          
hashicorp/setup-terraform                v3               github-action                   
httpcore                                 1.0.9            python                          
httpx                                    0.28.1           python                          
identify                                 2.6.13           python                          
idna                                     3.10             python                          
imagesize                                1.4.1            python                          
iniconfig                                2.1.0            python                          
ipdb                                     0.13.13          python                          
ipython                                  9.5.0            python                          
ipython-pygments-lexers                  1.1.1            python                          
jedi                                     0.19.2           python                          
jinja2                                   3.1.6            python                          
joblib                                   1.5.2            python                          
markdown-it-py                           4.0.0            python                          
markupsafe                               3.0.2            python                          
marshmallow                              4.0.1            python                          
matplotlib-inline                        0.1.7            python                          
mdurl                                    0.1.2            python                          
memory-profiler                          0.61.0           python                          
mypy                                     1.17.1           python                          
mypy-extensions                          1.1.0            python                          
nltk                                     3.9.1            python                          
nodeenv                                  1.9.1            python                          
oxsecurity/megalinter/flavors/terraform  v9.1.0           github-action                   
packaging                                25.0             python                          
parso                                    0.8.5            python                          
pathspec                                 0.12.1           python                          
peter-evans/create-pull-request          v7.0.8           github-action                   
pexpect                                  4.9.0            python                          
platformdirs                             4.4.0            python                          
pluggy                                   1.6.0            python                          
pre-commit                               4.3.0            python                          
prompt-toolkit                           3.0.52           python                          
psutil                                   6.1.1            python                          
ptyprocess                               0.7.0            python                          
pure-eval                                0.2.3            python                          
py-spy                                   0.4.1            python                          
pycparser                                2.22             python                          
pydantic                                 2.9.2            python                          
pydantic-core                            2.23.4           python                          
pygments                                 2.19.2           python                          
pytest                                   8.4.1            python                          
pytest-asyncio                           1.1.0            python                          
pytest-cov                               6.2.1            python                          
pytest-httpx                             0.35.0           python                          
pytest-mock                              3.14.1           python                          
pytest-xvfb                              3.1.1            python                          
python-dotenv                            1.1.1            python                          
pyvirtualdisplay                         3.0              python                          
pyyaml                                   6.0.2            python                          
regex                                    2025.8.29        python                          
requests                                 2.32.5           python                          
rich                                     14.1.0           python                          
roman-numerals-py                        3.1.0            python                          
ruamel-yaml                              0.18.15          python                          
ruamel-yaml-clib                         0.2.12           python                          
ruff                                     0.12.11          python                          
safety                                   3.6.0            python                          
safety-schemas                           0.0.14           python                          
setuptools                               80.9.0           python                          
shellingham                              1.5.4            python                          
sniffio                                  1.3.1            python                          
snowballstemmer                          3.0.1            python                          
sphinx                                   8.2.3            python                          
sphinx-autodoc-typehints                 3.2.0            python                          
sphinx-rtd-theme                         3.0.2            python                          
sphinxcontrib-applehelp                  2.0.0            python                          
sphinxcontrib-devhelp                    2.0.0            python                          
sphinxcontrib-htmlhelp                   2.1.0            python                          
sphinxcontrib-jquery                     4.1              python                          
sphinxcontrib-jsmath                     1.0.1            python                          
sphinxcontrib-qthelp                     2.0.0            python                          
sphinxcontrib-serializinghtml            2.0.0            python                          
stack-data                               0.6.3            python                          
stefanzweifel/git-auto-commit-action     v5.0.1           github-action                   
stevedore                                5.5.0            python                          
tenacity                                 9.1.2            python                          
tomli                                    2.2.1            python                          
tomlkit                                  0.13.3           python                          
tqdm                                     4.67.1           python                          
traitlets                                5.14.3           python                          
trufflesecurity/trufflehog               v3.85.0          github-action  (+1 duplicate)   
typer                                    0.17.3           python                          
types-pyyaml                             6.0.12.20250822  python                          
types-requests                           2.32.4.20250809  python                          
typing-extensions                        4.15.0           python                          
tzdata                                   2025.2           python                          
urllib3                                  2.5.0            python                          
virtualenv                               20.34.0          python                          
wcwidth                                  0.2.13           python
